date,a_x,a_y,a_z,angx,angy,angz,pressure,flag
37.9,0.66,-0.79,9.76,-3,-39,-148,20550.7,1
38.006,0.83,-0.73,9.73,1,-38,-147,20542.4,1
38.112,0.9,-0.73,9.68,-6,-37,-149,20534.1,1
38.217,0.86,-0.74,9.64,-2,-38,-146,20528.5,1
38.323,0.73,-0.88,9.58,0,-41,-147,20526.4,1
38.429,0.47,-0.97,9.56,-1,-40,-146,20526.3,1
38.535,0.33,-0.9,9.58,-2,-37,-147,20527.5,1
38.641,0.05,-0.74,9.61,-2,-39,-148,20534.1,1
38.747,-0.17,-0.74,9.64,-1,-39,-145,20539.6,1
38.853,-0.25,-0.75,9.65,-1,-42,-146,20545.7,1
38.958,-0.37,-0.92,9.64,-3,-42,-148,20553.5,1
39.064,-0.43,-0.82,9.65,0,-44,-145,20561.3,1
39.17,-0.45,-0.56,9.72,-3,-43,-146,20567.5,1
39.276,-0.42,-0.46,9.76,-6,-44,-147,20574,1
39.382,-0.33,-0.37,9.81,-2,-42,-145,20578.1,1
39.488,-0.17,-0.33,9.85,-4,-45,-147,20580,1
39.594,-0.03,-0.37,9.85,-3,-40,-147,20576.6,1
39.699,0.25,-0.48,9.86,-3,-39,-148,20571.9,1
39.805,0.57,-0.38,9.83,-3,-34,-148,20562.5,1
39.911,0.73,-0.31,9.81,-4,-34,-148,20552.9,1
40.017,0.94,-0.25,9.75,-1,-34,-146,20544.7,1
40.123,1.03,-0.33,9.69,-1,-34,-145,20534.4,1
40.229,1.02,-0.4,9.62,-1,-32,-146,20528.4,1
40.335,0.87,-0.65,9.58,1,-34,-143,20523.7,1
40.441,0.62,-0.93,9.53,2,-38,-146,20523.5,1
40.547,0.25,-0.89,9.55,3,-36,-145,20526.9,1
40.652,0.09,-0.81,9.6,4,-39,-144,20530.9,1
40.758,-0.17,-0.76,9.63,0,-41,-145,20540.1,1
40.864,-0.32,-0.79,9.64,1,-41,-146,20545.3,1
40.97,-0.37,-0.86,9.63,6,-41,-144,20553.3,1
41.076,-0.41,-0.81,9.65,3,-42,-146,20561.6,1
41.182,-0.38,-0.6,9.71,2,-41,-144,20568.4,1
41.287,-0.35,-0.48,9.76,1,-43,-146,20574.3,1
41.393,-0.23,-0.29,9.83,3,-44,-149,20576.6,1
41.499,-0.03,-0.18,9.89,4,-41,-148,20577.6,1
41.605,0.1,-0.33,9.87,4,-40,-147,20574,1
41.711,0.4,-0.36,9.85,3,-37,-146,20566.7,1
41.817,0.69,-0.29,9.82,5,-36,-148,20558.8,1
41.923,0.9,-0.25,9.79,1,-33,-146,20549.2,1
42.029,0.97,-0.26,9.75,4,-34,-145,20539.3,1
42.135,0.98,-0.34,9.68,5,-33,-147,20533.2,1
42.24,0.83,-0.6,9.59,8,-36,-145,20527.7,1
42.346,0.73,-0.76,9.58,9,-39,-145,20526.9,1
42.452,0.4,-0.93,9.54,8,-38,-144,20527.9,1
42.558,0.07,-0.85,9.58,7,-38,-146,20532,1
42.664,-0.08,-0.8,9.6,12,-43,-147,20537.9,1
42.77,-0.3,-0.81,9.63,11,-43,-147,20545.3,1
42.876,-0.42,-0.88,9.62,12,-41,-145,20552,1
42.982,-0.45,-0.75,9.66,11,-47,-144,20560.7,1
43.088,-0.46,-0.65,9.69,12,-45,-146,20566.5,1
43.194,-0.38,-0.41,9.8,9,-46,-150,20572.4,1
43.3,-0.25,-0.31,9.83,9,-41,-148,20576.3,1
43.405,-0.2,-0.26,9.84,10,-40,-147,20578.9,1
43.511,0.01,-0.34,9.85,11,-44,-144,20577.1,1
43.617,0.24,-0.29,9.86,10,-39,-149,20573.1,1
43.723,0.37,-0.24,9.85,13,-38,-148,20567.6,1
43.829,0.59,-0.08,9.82,7,-39,-149,20559.1,1
43.935,0.74,0.01,9.75,9,-34,-148,20551.9,1
44.041,0.76,0.01,9.75,8,-35,-148,20545.3,1
44.147,0.76,-0.14,9.71,10,-33,-149,20539.7,1
44.253,0.65,-0.44,9.68,14,-39,-147,20537,1
44.359,0.48,-0.81,9.6,16,-35,-143,20533.1,1
44.465,0.36,-0.93,9.57,17,-40,-142,20531.8,1
44.57,0.12,-1,9.57,15,-35,-142,20534.4,1
44.676,-0.07,-0.9,9.62,16,-39,-141,20537.5,1
44.782,-0.16,-0.82,9.63,18,-41,-144,20541.2,1
44.888,-0.25,-0.73,9.67,17,-42,-144,20545.8,1
44.994,-0.34,-0.65,9.7,19,-45,-146,20551.8,1
45.1,-0.36,-0.57,9.72,16,-41,-144,20556.7,1
45.206,-0.36,-0.43,9.76,16,-44,-144,20562.1,1
45.312,-0.32,-0.42,9.77,15,-43,-142,20564.9,1
45.418,-0.29,-0.44,9.79,15,-42,-147,20565.9,1
45.524,-0.15,-0.48,9.82,13,-44,-143,20565.3,1
45.63,0.11,-0.54,9.85,17,-42,-143,20559.7,1
45.736,0.36,-0.46,9.82,18,-36,-143,20554,1
45.842,0.49,-0.38,9.81,15,-35,-143,20547.2,1
45.948,0.7,-0.27,9.77,15,-34,-147,20539.4,1
46.054,0.78,-0.31,9.72,14,-32,-145,20532.2,1
46.159,0.78,-0.35,9.69,14,-34,-145,20528.8,1
46.265,0.65,-0.58,9.61,17,-34,-142,20524,1
46.371,0.41,-0.71,9.57,19,-35,-142,20525.3,1
46.477,0.3,-0.71,9.57,21,-35,-143,20528.1,1
46.583,-0.01,-0.71,9.62,20,-35,-143,20535.3,1
46.689,-0.22,-0.81,9.64,21,-37,-143,20542.7,1
46.795,-0.3,-0.99,9.61,23,-36,-143,20550,1
